ID Empresa;Empresa;Año;Periodo;Departamento;Municipio;NUECA;Entrega ECA/Recoge rechazoECA;Sitio origen o destino residuo;#sitio origen/destino residuo;Dpto origen residuo;Municipio origen residuos;Tonelada entregadas recogidas;Fecha de cargue
2044;INTERASEO S.A.S.  E.S.P.;2020;4;ANTIOQUIA;BELLO;998405088-ECA NORTE INTERASEO;Recoge el rechazo de la ECA;Sitio de disposición final;720105237;ANTIOQUIA;COPACABANA;1,197;19/06/20
2044;INTERASEO S.A.S.  E.S.P.;2020;2;ANTIOQUIA;BELLO;998405088-ECA NORTE INTERASEO;Recoge el rechazo de la ECA;Sitio de disposición final;720105237;ANTIOQUIA;COPACABANA;1,697;19/06/20
2044;INTERASEO S.A.S.  E.S.P.;2020;1;ANTIOQUIA;BELLO;998405088-ECA NORTE INTERASEO;Recoge el rechazo de la ECA;Sitio de disposición final;720105237;ANTIOQUIA;COPACABANA;1,87;19/06/20
2044;INTERASEO S.A.S.  E.S.P.;2020;4;ANTIOQUIA;BELLO;998405088-ECA NORTE INTERASEO;Recoge el rechazo de la ECA;Sitio de disposición final;720105237;ANTIOQUIA;GIRARDOTA;0,951;19/06/20
2044;INTERASEO S.A.S.  E.S.P.;2020;2;ANTIOQUIA;BELLO;998405088-ECA NORTE INTERASEO;Recoge el rechazo de la ECA;Sitio de disposición final;720105237;ANTIOQUIA;GIRARDOTA;0,961;19/06/20
2044;INTERASEO S.A.S.  E.S.P.;2020;3;ANTIOQUIA;BELLO;998405088-ECA NORTE INTERASEO;Recoge el rechazo de la ECA;Sitio de disposición final;720105237;ANTIOQUIA;GIRARDOTA;1,022;19/06/20
2044;INTERASEO S.A.S.  E.S.P.;2020;1;ANTIOQUIA;BELLO;998405088-ECA NORTE INTERASEO;Recoge el rechazo de la ECA;Sitio de disposición final;720105237;ANTIOQUIA;GIRARDOTA;1,88;19/06/20
2044;INTERASEO S.A.S.  E.S.P.;2020;2;ANTIOQUIA;LA ESTRELLA;998805380-ECA SUR INTERASEO;Recoge el rechazo de la ECA;Sitio de disposición final;720105237;ANTIOQUIA;ITAGUI;0,044;21/06/20
2044;INTERASEO S.A.S.  E.S.P.;2020;1;ANTIOQUIA;LA ESTRELLA;998805380-ECA SUR INTERASEO;Recoge el rechazo de la ECA;Sitio de disposición final;720105237;ANTIOQUIA;ITAGUI;0,048;21/06/20
2044;INTERASEO S.A.S.  E.S.P.;2020;1;ANTIOQUIA;LA ESTRELLA;998805380-ECA SUR INTERASEO;Recoge el rechazo de la ECA;Sitio de disposición final;720105237;ANTIOQUIA;LA ESTRELLA;0,043;21/06/20
2044;INTERASEO S.A.S.  E.S.P.;2020;2;ANTIOQUIA;LA ESTRELLA;998805380-ECA SUR INTERASEO;Recoge el rechazo de la ECA;Sitio de disposición final;720105237;ANTIOQUIA;LA ESTRELLA;0,044;21/06/20
2044;INTERASEO S.A.S.  E.S.P.;2020;1;LA GUAJIRA;RIOHACHA;889544001-ECA - RIOHACHA;Recoge el rechazo de la ECA;Sitio de disposición final;20844001;LA GUAJIRA;RIOHACHA;0,118;28/05/20
2044;INTERASEO S.A.S.  E.S.P.;2020;2;LA GUAJIRA;RIOHACHA;889544001-ECA - RIOHACHA;Recoge el rechazo de la ECA;Sitio de disposición final;20844001;LA GUAJIRA;RIOHACHA;0,1659;28/05/20
2044;INTERASEO S.A.S.  E.S.P.;2020;4;LA GUAJIRA;RIOHACHA;889544001-ECA - RIOHACHA;Recoge el rechazo de la ECA;Sitio de disposición final;20844001;LA GUAJIRA;RIOHACHA;0,199;08/05/20
2044;INTERASEO S.A.S.  E.S.P.;2020;3;LA GUAJIRA;RIOHACHA;889544001-ECA - RIOHACHA;Recoge el rechazo de la ECA;Sitio de disposición final;20844001;LA GUAJIRA;RIOHACHA;0,2318;08/05/20
2044;INTERASEO S.A.S.  E.S.P.;2020;2;ANTIOQUIA;LA ESTRELLA;998805380-ECA SUR INTERASEO;Recoge el rechazo de la ECA;Sitio de disposición final;720105237;ANTIOQUIA;SABANETA;0,059;21/06/20
2044;INTERASEO S.A.S.  E.S.P.;2020;1;ANTIOQUIA;LA ESTRELLA;998805380-ECA SUR INTERASEO;Recoge el rechazo de la ECA;Sitio de disposición final;720105237;ANTIOQUIA;SABANETA;0,061;21/06/20
2044;INTERASEO S.A.S.  E.S.P.;2020;1;SUCRE;SINCELEJO;998770001-ECA INTERASEO SUCRE;Recoge el rechazo de la ECA;Sitio de disposición final;20470001;SUCRE;SAN MARCOS;0,0062;16/04/20
2044;INTERASEO S.A.S.  E.S.P.;2020;1;MAGDALENA;SANTA MARTA;998947001-ECA INTERASEO MAGDALENA;Recoge el rechazo de la ECA;Sitio de disposición final;20547001;MAGDALENA;SANTA MARTA;0,6;01/03/20
2044;INTERASEO S.A.S.  E.S.P.;2020;1;SUCRE;SINCELEJO;998770001-ECA INTERASEO SUCRE;Recoge el rechazo de la ECA;Sitio de disposición final;20470001;SUCRE;SINCELEJO;1,015;16/04/20
2623;ASOCIACION COOPERATIVA DE RECICLADORES DE BOGOTA;2020;3;BOGOTA, D.C.;BOGOTA, D.C.;1475611001-GOLEROS;Entrega a la ECA;Área de prestación del servicio;220111001;BOGOTA, D.C.;BOGOTA, D.C.;788,8;06/04/20
2623;ASOCIACION COOPERATIVA DE RECICLADORES DE BOGOTA;2020;5;BOGOTA, D.C.;BOGOTA, D.C.;1475611001-GOLEROS;Entrega a la ECA;Área de prestación del servicio;220111001;BOGOTA, D.C.;BOGOTA, D.C.;883,25;11/06/20
2623;ASOCIACION COOPERATIVA DE RECICLADORES DE BOGOTA;2020;3;BOGOTA, D.C.;BOGOTA, D.C.;1475311001-CENTRO DE ACOPIO ARAUS;Entrega a la ECA;Área de prestación del servicio;220111001;BOGOTA, D.C.;BOGOTA, D.C.;897;06/04/20
2623;ASOCIACION COOPERATIVA DE RECICLADORES DE BOGOTA;2020;4;BOGOTA, D.C.;BOGOTA, D.C.;1475611001-GOLEROS;Entrega a la ECA;Área de prestación del servicio;220111001;BOGOTA, D.C.;BOGOTA, D.C.;902,8;13/05/20
2623;ASOCIACION COOPERATIVA DE RECICLADORES DE BOGOTA;2020;5;BOGOTA, D.C.;BOGOTA, D.C.;1475311001-CENTRO DE ACOPIO ARAUS;Entrega a la ECA;Área de prestación del servicio;220111001;BOGOTA, D.C.;BOGOTA, D.C.;923,68;11/06/20
2623;ASOCIACION COOPERATIVA DE RECICLADORES DE BOGOTA;2020;4;BOGOTA, D.C.;BOGOTA, D.C.;1475311001-CENTRO DE ACOPIO ARAUS;Entrega a la ECA;Área de prestación del servicio;220111001;BOGOTA, D.C.;BOGOTA, D.C.;926,82;13/05/20
2623;ASOCIACION COOPERATIVA DE RECICLADORES DE BOGOTA;2020;2;BOGOTA, D.C.;BOGOTA, D.C.;1475611001-GOLEROS;Entrega a la ECA;Área de prestación del servicio;220111001;BOGOTA, D.C.;BOGOTA, D.C.;973,7;09/03/20
2623;ASOCIACION COOPERATIVA DE RECICLADORES DE BOGOTA;2020;2;BOGOTA, D.C.;BOGOTA, D.C.;1475311001-CENTRO DE ACOPIO ARAUS;Entrega a la ECA;Área de prestación del servicio;220111001;BOGOTA, D.C.;BOGOTA, D.C.;1084;09/03/20
2623;ASOCIACION COOPERATIVA DE RECICLADORES DE BOGOTA;2020;5;BOGOTA, D.C.;BOGOTA, D.C.;1475411001-RECUPERADORA AVENDAÑO GUERRRERO;Entrega a la ECA;Área de prestación del servicio;220111001;BOGOTA, D.C.;BOGOTA, D.C.;1189,6;11/06/20
2623;ASOCIACION COOPERATIVA DE RECICLADORES DE BOGOTA;2020;3;BOGOTA, D.C.;BOGOTA, D.C.;1475411001-RECUPERADORA AVENDAÑO GUERRRERO;Entrega a la ECA;Área de prestación del servicio;220111001;BOGOTA, D.C.;BOGOTA, D.C.;1206,7;06/04/20
2623;ASOCIACION COOPERATIVA DE RECICLADORES DE BOGOTA;2020;4;BOGOTA, D.C.;BOGOTA, D.C.;1475411001-RECUPERADORA AVENDAÑO GUERRRERO;Entrega a la ECA;Área de prestación del servicio;220111001;BOGOTA, D.C.;BOGOTA, D.C.;1407,6;13/05/20
2623;ASOCIACION COOPERATIVA DE RECICLADORES DE BOGOTA;2020;2;BOGOTA, D.C.;BOGOTA, D.C.;1475411001-RECUPERADORA AVENDAÑO GUERRRERO;Entrega a la ECA;Área de prestación del servicio;220111001;BOGOTA, D.C.;BOGOTA, D.C.;1444,9;09/03/20
2623;ASOCIACION COOPERATIVA DE RECICLADORES DE BOGOTA;2020;3;BOGOTA, D.C.;BOGOTA, D.C.;1475511001-ASOACTIVA;Entrega a la ECA;Área de prestación del servicio;220111001;BOGOTA, D.C.;BOGOTA, D.C.;2467,9;06/04/20
2623;ASOCIACION COOPERATIVA DE RECICLADORES DE BOGOTA;2020;5;BOGOTA, D.C.;BOGOTA, D.C.;1475511001-ASOACTIVA;Entrega a la ECA;Área de prestación del servicio;220111001;BOGOTA, D.C.;BOGOTA, D.C.;2538,6;11/06/20
2623;ASOCIACION COOPERATIVA DE RECICLADORES DE BOGOTA;2020;4;BOGOTA, D.C.;BOGOTA, D.C.;1475511001-ASOACTIVA;Entrega a la ECA;Área de prestación del servicio;220111001;BOGOTA, D.C.;BOGOTA, D.C.;2752;13/05/20
2623;ASOCIACION COOPERATIVA DE RECICLADORES DE BOGOTA;2020;2;BOGOTA, D.C.;BOGOTA, D.C.;1475511001-ASOACTIVA;Entrega a la ECA;Área de prestación del servicio;220111001;BOGOTA, D.C.;BOGOTA, D.C.;3021,9;09/03/20
2623;ASOCIACION COOPERATIVA DE RECICLADORES DE BOGOTA;2020;5;BOGOTA, D.C.;BOGOTA, D.C.;250411001-ARB CENTRO DE RECICLAJE LA PENSILVANIA 1;Entrega a la ECA;Área de prestación del servicio;220111001;BOGOTA, D.C.;BOGOTA, D.C.;5922,4;11/06/20
2623;ASOCIACION COOPERATIVA DE RECICLADORES DE BOGOTA;2020;4;BOGOTA, D.C.;BOGOTA, D.C.;250411001-ARB CENTRO DE RECICLAJE LA PENSILVANIA 1;Entrega a la ECA;Área de prestación del servicio;220111001;BOGOTA, D.C.;BOGOTA, D.C.;6501,2;13/05/20
